what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351375881561
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1351375882322
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1351375882328
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1351375885199
started,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.259,"com.altera.debug.cdi.gdb.plugin",1351375886244
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351375886362
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351375897867
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1351375901630
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1351375901716
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1351375902440
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1351375902441
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1351375904305
opened,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1351375904601
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1351375904881
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1351375904893
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1351375907219
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351375907535
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351375915707
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1351375934325
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351375934629
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351375942344
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351375944989
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351375946341
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1351375955316
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1351375960452
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1351375969165
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351376038245
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351376322071
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351376324509
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351376624481
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1351376624505
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351376717535
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351376738343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351376817229
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351376820357
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351376831893
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351376833141
