what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351199270249
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351199278254
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351199303364
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351199304978
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1351199313669
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1351199319568
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1351199328204
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1351199594532
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351199616036
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351199618037
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1351199624685
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1351199627506
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1351199632634
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1351199641208
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1351199756780
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1351199773817
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1351199775252
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1351199780112
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1351199814468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351199814768
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351199822202
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1351199872396
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351199872671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351199880264
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351199883756
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351199885362
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1351199894849
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1351199899986
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1351199908639
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351200166900
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201362072
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201371707
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201378545
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1351201380262
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201380541
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201389209
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201397200
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201402058
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201406719
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201408739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201413337
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201414904
error,log,,,"The system console model is invalid. Cannot launch.",1351201421328
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201421339
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201426785
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1351201429004
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201460163
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201471569
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201471599
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201473139
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201477785
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201482450
error,log,,,"The system console model is invalid. Cannot launch.",1351201488874
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201488885
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201495274
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1351201514141
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1351201515151
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1351201515346
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1351201515533
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1351201515710
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1351201515882
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1351201516076
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1351201516247
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1351201516414
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1351201516585
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1351201516756
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1351201516923
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201519613
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201521601
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201522791
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201526441
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201532867
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201535220
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1351201535230
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1351201552404
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201552678
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201561462
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201578310
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201587942
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201592420
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201610232
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201614878
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201619204
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1351201626405
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1351201626408
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1351201626525
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1351201626756
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.closeAll",1351201626784
started,bundle,com.altera.sbtgui.ui,11.1.0.259,"com.altera.sbtgui.ui",1351201630830
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201632663
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201639226
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1351201640269
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201643996
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351201646397
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1351201646404
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1351201646404
