what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1351692801354
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1351692804998
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1351692811894
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1351692815641
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1351692817754
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351692820404
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351692829251
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351692833653
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351692912544
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1351692912550
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1351692938137
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1351693006847
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351693007207
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351693009335
executed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1351693009343
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1351693027040
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351693039322
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351693040676
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1351693040692
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1351693040750
started,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1351693041501
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1351693041605
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1351693041634
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1351693041856
